"psc_description","study_type","X2018"
"AERONAUTIC/SPACE STUDIES","Science",297281195.6
"COST BENEFIT ANALYSES","Program Support",24660377.45
"ECONOMIC STUDIES","Society & Social Science",65043322.84
"ELDERLY/HANDICAPPED STUDIES","Society & Social Science",479119
"GEOTECHNICAL STUDIES","Earth Science",7738996.85
"GRAZING/RANGE STUDIES","Earth Science",1198944.74
"LEGAL STUDIES","Program Support",26599003.31
"MANPOWER STUDIES","Program Support",10442722.22
"MEDICAL AND HEALTH STUDIES","Science",243101654.1
"OTHER SPECIAL STUDIES AND ANALYSES","Science",1752994906
"REGULATORY STUDIES","Program Support",41420589.19
"SEISMOLOGICAL STUDIES","Earth Science",864925.34
"SOIL STUDIES","Earth Science",6028339.62
"SPECIAL STUDIES/ANALYSIS- ACCOUNTING/FINANCIAL MANAGEMENT","Program Support",174533494.9
"SPECIAL STUDIES/ANALYSIS- AIR QUALITY","Earth Science",45123939.59
"SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES","Earth Science",50775661
"SPECIAL STUDIES/ANALYSIS- BUILDING TECHNOLOGY","Science",35480646.21
"SPECIAL STUDIES/ANALYSIS- COMMUNICATIONS","Science",9199375.33
"SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","Program Support",442220073.2
"SPECIAL STUDIES/ANALYSIS- DEFENSE","Security",1936927166
"SPECIAL STUDIES/ANALYSIS- EDUCATIONAL","Society & Social Science",279367349.5
"SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL","Earth Science",21148630.22
"SPECIAL STUDIES/ANALYSIS- ENERGY","Science",34372494.62
"SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","Earth Science",278524304
"SPECIAL STUDIES/ANALYSIS- FEASIBILITY (NON-CONSTRUCTION)","Program Support",12941925.79
"SPECIAL STUDIES/ANALYSIS- GEOLOGICAL","Earth Science",5650561.12
"SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL","Earth Science",8398211.32
"SPECIAL STUDIES/ANALYSIS- HISTORICAL","Society & Social Science",10155397.95
"SPECIAL STUDIES/ANALYSIS- INTELLIGENCE","Security",76269036.82
"SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL","Science",7756950.37
"SPECIAL STUDIES/ANALYSIS- MOBILIZATION/PREPAREDNESS","Security",1767677.11
"SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE","Earth Science",13193953.06
"SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL","Earth Science",34923573.42
"SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","Program Support",144588350.6
"SPECIAL STUDIES/ANALYSIS- RECREATION","Society & Social Science",919131.49
"SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","Science",471637778.9
"SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL)","Security",104331783.5
"STUDY/ACQUISITION POLICY/PROCEDURES","Program Support",1026753.29
"STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL","Earth Science",62174311.45
"STUDY/CHEMICAL-BIOLOGICAL","Science",681927175.2
"STUDY/FOREIGN & NAT'L SECURITY POL","Security",10254283.12
"STUDY/HOUSING AND COMMUNITY DEVELOP","Society & Social Science",18494727.8
"TECHNOLOGY STUDIES","Science",47782111.47
"TRADE ISSUE STUDIES","Society & Social Science",1821719.11
"WATER QUALITY STUDIES","Earth Science",15387217.88
"WILDLIFE STUDIES","Earth Science",5545408.3
